  دەم
  دانستە
  خلیان
  ڕاکردن
  ئافرێنەر
  فریودان
  سەرقاڵ
  تووڕدان
  سیاڕەگ
  روانین
  بینایی
  خه‌یاڵ
  فریودان
  دەوڵەمەند
  کار
  فێرکردن
  تێوەژاندن
  گاڵتە
  تەواو کردن
  دابەشکردن
  واتادان
  خێرا
  ئەڵقە
  دۆخ
  هەنووکە
  راسپێردراو
  ڕاونان
  پەیوەستکردن
  هەست پێکردن
  پەرەپێدان
  پووچاندنەوە
  پێشاندان
  ڕێوشوێن
  پێوەدان
  هەڕەشە کردن
  ڕووناکی
ژمارە
  شوێن کەوتوو
  ساوان
  گاڵتەپێکردن
  کەشتی
  دەستەواژە
  شانازی
  بەرهەم
  ڕەنجدان
  سوو
  ورچ
  پۆشتەکردن
  بەش
  داتەپین
  پێوەکراو
  هێشتنەوە
  دان به‌زه‌وی دا
  ڕابواردن
  کەڵکاوەژوو
  ڕێگا
  یاری کردن
  پارێزگا
  هێشتن
  پاشماوە
  سامان
  رێکوپێکی
  سەفەر
  کار
  مەترسی
  چارەگ
  پولەکە
  پاراستن
  بەردەوام
  گرتن
  دیرۆکناسی
  ئامراز
  پشێوکردن
  خێزان
  سەرلێشێواندن
  واتایی
  هاندان
  روودان
  کارکردن
  دوعاو سوپاسی په‌روه‌ردگار کردن پێش نان خواردن
  برسێتی
  دۆخ
  بەها
  لەباربوون
  پاڵدانەوە
  گەنجینە
  پێوەندی گرتن
  داگیرکراو
  خول
  سەوز
  میراتی
  بەفیرۆدان
  گەستن
  خێرایی
  بۆش
  ترووسکانەوە
  پەنەمان
  روون کردنەوە
  ئاسانکاری دەکات
  شکڵ پێدان
  هەڵچوون
  بڵاوکردنەوە
  گرنگی دان
  خزان
  لووتکە
  شێوە
  درز
  جەزنەدار
  تەواو
  دەسک
  بەرگری کردن
  گازندە
  دروستکەر
  وردبوون
  قۆناخ
  وتار
  شانس
  ئاهەنگ
  جێگەوبان
  سەختی
  حەواندنەوە
  ڕاوەشاندن
  زەلانەوە
  جووت
  خەملاندن
  کەوتن
  خیانەت
  پایتەخت
  بەزاندن
  پۆشتەکردن
  گەشەسەندن
  پەلە کردن
  گەیاندن
  مانەوە
  بنکە
  دیمەنکێشان
  پوخته‌
  وونکردن
  کاریگەری
  ڕا
  پێیاکێشان
  مین
  بەرگەگرتن
  لێنان
  خۆشەویستن
  بەرزکردنەوە
  دروێنە
  بیردەکاتەوە
  سووڕانەوە
  وەستاندن
  دەرچوون
  هەڵپەڕکێ
  پێ وابوون
  قەرەبالغی
  پێشبینی کردن
  ڕەنجێنەر
  تێ پەستان
  کابرا
  مەیخانە
  بەسراو بوون بە
  دۆزینەوە
  بڵاوکردنەوە
  کێشەوبەره
  وێرانکاری
  بەخت
  جەفەنگبازی
  بمر
  هەڕشەلێکردن
  بار
  شکاندن
  داڕمان
  تەقینەوە
  فێنک
  شوێن کەوتن
  تێ ڕژان
  رووداو
  هاوسێیەتی
  زیندانی
  بیستن
  تاودان
  هێنان
  داهێنان
  بچووک
  چاودێری
  خایاندن
  ئاخنە
  هاوڕێ
  سادە
  فیلم گرتن
  قیژاندن
  دەستە
  کلکه‌له‌قێبۆکردن
  لێدان
  کاردەستی
  پێکدادان
  وەرنەگرتن
  خواردەمەنی
  ڕاتەکان
  شوێن کەوتن
  ئازاردان
  ون کردن
  سەرەڕۆیی کردن
  سەرۆک
  ناشتن
  نەهامەتی
  تێگەیشتن
  شوێن هەڵگرتن
  لەوماوەیەدا
  گێژاو
  ورە
  قەرەبوو
  پاراستن
  کۆ
  دڤانەک
  جوانی
  نوقم بوون
  هەق
  ڕەق
  هاوڕێ
  ئافراندن
  هێشتن
  ده‌م داچه‌قاندن (باوێشک
  کەم کردنەوە
  پڕکردنەوە
  تاوانبار کردن
دەسهەق
  ڕووخاندن
  دەربڕین
  گوێ پێنەدان
  خاوەن بوون
  سووڕانەوە
  سووڕاندنەوە
  پاڵ پێوەنان
  دژانبەر
  هەڵویست
  جۆر
  جێگیرکردن
  جێگیر
  درۆ
  چاپەمەنی
  مژین
  سەخت
  دەسەڵات
  گۆڤانی
  وەدەست خستن
  هەڵئاوسان
  وتن
  بازرگانی
  سایین
  هێنان
  گرنگی پێدان
  دیاردە
  شانازی
  پێست
  پارە
  داپۆشین
  خاوێن کردنەوە
  بەش کردن
  خەرجکردن
  خوار
  درێژبوونەوە
  ئاست
  قەباره
  فەرمانگە
  ئازاد
  مامەڵ
  ماوە
  لە بڕی دانان
  ژووری خۆشوشتن
  دەرفەت
  هێشتن
  دایک
  سەرلێشواندن
  تەرم
  دەیەوێ
  فێرکار
  ویست
  تایه
  پێناسە کردن
  بەراوردکردن
  شادی
  هێنان
  فێنککەرەوە
  ئەژنۆ
  شقارتە
  ئاوس بوون
  فریودان
  فرۆش
  فێرکردن
  چامه
  جریکاندن
  گۆڕینی سزا
  وێک هاتن
  وەبیرهاتنەوە
  نزمبوونەوە
  بچووک
  گەیشتن
  کانی
  پارە دان
  باوەڕ
  بەڕێوبەرایەتی
  هەبوون
  هاوسەری
  شکان
  پێکەوەبەستن
  لەبار بوون
  ڕاوکردن
  هەواڵ دان
  شوول
  بەکارهێنان
  خەساندن
