# KurdNet (Kurdish WordNet)	ckb	https://github.com/sinaahmadi/kurdnet	CC BY SA 4.0
00022686-v	ckb:def	0	هۆکارێک بۆ وشیاری و ڕابوونەوە.
00022903-n	ckb:def	0	یەکێکە لە دەستە وەبەرهێنراوەکان.
00022903-n	ckb:lemma	بەندی یاسا
00022903-n	ckb:lemma	نوسراو
00022903-n	ckb:lemma	وتار
00023100-n	ckb:def	0	دۆخێکی ژیانی ڕەوانیی ژینەوەرێکی گیاندارە.
00023271-n	ckb:def	0	دەستکەوتی ڕەوانیی تێروانین و فێربوون و لێکدانەوەیە.
00023773-n	ckb:def	0	ئەو دۆخە ڕەوانییەی کە ژینەوەرێک بۆ تێکۆشان لە ڕێگای بەدەست هێنانی ئامانجێک، هەڵدەهرووژێنێ؛ هۆکاری تێکۆشان؛ ئەو شتەی کە دەتوانێ لە هەڵبژاردنی ئامانجەکان و بۆچوونەکاندا کارگێڕ بێ.
00024264-n	ckb:def	0	واتابەخشییەک یان پێناسەیەک کە تایبەت بە هەبوونێکە.
00024264-n	ckb:lemma	تایبەتمەندی
00024264-n	ckb:lemma	دانستە
00024264-n	ckb:lemma	دیارخەر
00024264-n	ckb:lemma	دیاردە
00024264-n	ckb:lemma	دیارکەر
00024264-n	ckb:lemma	پێناسەی چۆنیەتی
00024720-n	ckb:def	0	ئەو شێوازەیە کە شتێک دەگەڵ پێناسە سەرەکییەکانیدا لەپەیوەندیدا ببێ.
00024720-n	ckb:lemma	بار
00024720-n	ckb:lemma	دۆخ
00024720-n	ckb:lemma	دەربڕین
00024720-n	ckb:lemma	دەرخستن
00024720-n	ckb:lemma	دەوڵەت
00024720-n	ckb:lemma	وتن
00024720-n	ckb:lemma	وڵات
00024720-n	ckb:lemma	پارێزگا
00025203-v	ckb:def	0	پەشێو و پەرۆش یان وەڕەز و قەڵس بوون.
00025203-v	ckb:lemma	دەمی فرمان
00026385-v	ckb:def	0	کەم کردنەوەی پەرۆشی، حاوانەوە، خۆ شڵوێ نەکردن.
00027167-n	ckb:def	0	خاڵێک یان مەودایەک لە ئاقاردا.
00027167-n	ckb:lemma	شوێن
00027268-v	ckb:def	0	ئاسوودە بوونی لینگ و ماسکوولەکان یان هەموو لەشی کەسێک.
00027807-n	ckb:def	0	شێوازی ڕێکخرانی ئاقاریی شتێک جیاواز لە ماکەکەی.
00028270-n	ckb:def	0	زنجیرەیەک لە ئەزموونەکانە کە ڕووداوەکان لە داهاتووڕا هەتا ئێستاکە و ڕابردوو تێیدا ڕوودەدەن.
00028270-n	ckb:lemma	کات
00029378-n	ckb:def	0	شتێک کە لە جێگا و کاتێکی دیاریکراودا ڕوودەدا.
00029378-n	ckb:lemma	بەسەرهات
00029378-n	ckb:lemma	ڕووداو
00029677-n	ckb:def	0	دیاردەیەکی سابت یان یەکێ کە بە گۆڕانی وردەوردە لە زنجیرە بارودۆخێک
00029677-n	ckb:lemma	ئەنجام دان
00029677-n	ckb:lemma	جێبەجێ کردن
00029677-n	ckb:lemma	خەریک بوون
00029677-n	ckb:lemma	دۆخ
00029677-n	ckb:lemma	قۆناخ
00029677-n	ckb:lemma	پرۆسە
00029677-n	ckb:lemma	ڕەوت
00030358-n	ckb:def	0	ئەو شتەی کە خەڵک دەیکەن یان دەبنە هۆی کرانی.
00030358-n	ckb:lemma	هەڵس وکەوت
00030358-n	ckb:lemma	کردار
00030358-n	ckb:lemma	کردەوە
00031264-n	ckb:def	0	ئەژمارێک لە هەبوونەکان(ئەندامەکان) کە لە یەک بەشدان.
00031820-v	ckb:def	0	خولقاندنی بزە.
00031820-v	ckb:lemma	پێکەنین
00031921-n	ckb:def	0	واتابەخشییەک یان پێناسەیەک کە تایبەت بە دوو هەبوون یان هەمووپێکهاتەنیانە.
00031921-n	ckb:lemma	پەیوەندی
00032613-n	ckb:def	0	ئەو شتەی خاوەنی هەبێ یان دەستی بە سەرگیرابێ.
00032823-n	ckb:def	0	پەیوەندییەکە لە نێوان ژینەوەرە گیاندارەکاندا(بە تایبەت لە نێوان مرۆڤاندا).
00033020-n	ckb:def	0	ئەو شتەی کە  دەبێتە هۆی لێک ئاگاداربوونی مرۆڤان یان گرووپان.
00033020-n	ckb:lemma	ئاڵوگۆڕکردن
00033020-n	ckb:lemma	گەیاندن
00033599-v	ckb:def	0	ئەوەی لە ڕواڵەتی شتێک بەدی دەکرێ یان وەکوو دۆخی دەموچاو بەچاودا دێ.
00033599-v	ckb:lemma	بیچم
00033599-v	ckb:lemma	تواشاکردن
00033599-v	ckb:lemma	دیمەن
00033599-v	ckb:lemma	سیما
